FromID,FromType,ToID,ToType,Distance_km
RDC02,RegionalDC,LDC03,LocalDC,562.7
RDC02,RegionalDC,LDC04,LocalDC,29.6
RDC02,RegionalDC,LDC05,LocalDC,15.8
RDC02,RegionalDC,LDC06,LocalDC,46.8
RDC02,RegionalDC,LDC07,LocalDC,71.3
RDC02,RegionalDC,LDC08,LocalDC,143.7
RDC02,RegionalDC,LDC09,LocalDC,214.1
RDC02,RegionalDC,LDC10,LocalDC,101.7
RDC02,RegionalDC,LDC11,LocalDC,599.2
RDC02,RegionalDC,LDC12,LocalDC,692.2
RDC02,RegionalDC,LDC13,LocalDC,690.5
RDC02,RegionalDC,LDC14,LocalDC,725.7
RDC03,RegionalDC,LDC01,LocalDC,565.9
RDC03,RegionalDC,LDC02,LocalDC,544.5
RDC03,RegionalDC,LDC03,LocalDC,605.9
RDC03,RegionalDC,LDC04,LocalDC,90.3
RDC03,RegionalDC,LDC05,LocalDC,53.9
RDC03,RegionalDC,LDC06,LocalDC,111.8
RDC03,RegionalDC,LDC07,LocalDC,124.6
RDC03,RegionalDC,LDC08,LocalDC,79.2
RDC03,RegionalDC,LDC09,LocalDC,145.9
RDC03,RegionalDC,LDC10,LocalDC,49.7
RDC03,RegionalDC,LDC11,LocalDC,564.0
RDC03,RegionalDC,LDC12,LocalDC,671.3
RDC03,RegionalDC,LDC13,LocalDC,657.0
RDC03,RegionalDC,LDC14,LocalDC,682.7
RDC04,RegionalDC,LDC01,LocalDC,1021.8
RDC04,RegionalDC,LDC02,LocalDC,1018.0
RDC04,RegionalDC,LDC03,LocalDC,1095.7
RDC04,RegionalDC,LDC04,LocalDC,567.2
RDC04,RegionalDC,LDC05,LocalDC,527.3
RDC04,RegionalDC,LDC06,LocalDC,538.4
RDC04,RegionalDC,LDC07,LocalDC,608.7
RDC04,RegionalDC,LDC08,LocalDC,461.9
RDC04,RegionalDC,LDC09,LocalDC,497.8
RDC04,RegionalDC,LDC10,LocalDC,464.5
RDC04,RegionalDC,LDC11,LocalDC,104.8
RDC04,RegionalDC,LDC12,LocalDC,161.1
RDC04,RegionalDC,LDC13,LocalDC,168.1
RDC04,RegionalDC,LDC14,LocalDC,255.2
RDC05,RegionalDC,LDC01,LocalDC,186.7
RDC05,RegionalDC,LDC02,LocalDC,193.9
RDC05,RegionalDC,LDC03,LocalDC,159.5
RDC05,RegionalDC,LDC04,LocalDC,658.5
RDC05,RegionalDC,LDC05,LocalDC,702.5
RDC05,RegionalDC,LDC06,LocalDC,675.1
RDC05,RegionalDC,LDC07,LocalDC,617.7
RDC05,RegionalDC,LDC08,LocalDC,815.2
RDC05,RegionalDC,LDC09,LocalDC,848.6
RDC05,RegionalDC,LDC10,LocalDC,785.0
RDC05,RegionalDC,LDC11,LocalDC,1280.1
RDC05,RegionalDC,LDC12,LocalDC,1346.8
RDC05,RegionalDC,LDC13,LocalDC,1368.4
RDC05,RegionalDC,LDC14,LocalDC,1412.4
RDC06,RegionalDC,LDC01,LocalDC,499.6
RDC06,RegionalDC,LDC02,LocalDC,482.7
RDC06,RegionalDC,LDC03,LocalDC,550.8
RDC06,RegionalDC,LDC04,LocalDC,17.9
RDC06,RegionalDC,LDC05,LocalDC,26.4
RDC06,RegionalDC,LDC06,LocalDC,47.2
RDC06,RegionalDC,LDC07,LocalDC,59.4
RDC06,RegionalDC,LDC08,LocalDC,152.6
RDC06,RegionalDC,LDC09,LocalDC,220.3
RDC06,RegionalDC,LDC10,LocalDC,112.0
RDC06,RegionalDC,LDC11,LocalDC,611.0
RDC06,RegionalDC,LDC12,LocalDC,703.8
RDC06,RegionalDC,LDC13,LocalDC,702.4
RDC06,RegionalDC,LDC14,LocalDC,737.4
RDC07,RegionalDC,LDC01,LocalDC,1254.8
RDC07,RegionalDC,LDC02,LocalDC,1243.6
RDC07,RegionalDC,LDC03,LocalDC,1312.5
RDC07,RegionalDC,LDC04,LocalDC,779.9
RDC07,RegionalDC,LDC05,LocalDC,736.5
RDC07,RegionalDC,LDC06,LocalDC,761.3
RDC07,RegionalDC,LDC07,LocalDC,821.5
RDC07,RegionalDC,LDC08,LocalDC,640.3
RDC07,RegionalDC,LDC09,LocalDC,644.2
RDC07,RegionalDC,LDC10,LocalDC,659.3
RDC07,RegionalDC,LDC11,LocalDC,166.4
RDC07,RegionalDC,LDC12,LocalDC,246.8
RDC07,RegionalDC,LDC13,LocalDC,115.0
RDC07,RegionalDC,LDC14,LocalDC,30.2
LDC01,LocalDC,C001,Customer,78.1
LDC01,LocalDC,C002,Customer,188.8
LDC01,LocalDC,C003,Customer,6.9
LDC01,LocalDC,C004,Customer,65.6
LDC01,LocalDC,C005,Customer,141.4
LDC01,LocalDC,C006,Customer,198.3
LDC01,LocalDC,C007,Customer,94.0
LDC01,LocalDC,C008,Customer,146.6
LDC01,LocalDC,C009,Customer,510.8
LDC01,LocalDC,C010,Customer,503.2
LDC01,LocalDC,C011,Customer,487.8
LDC01,LocalDC,C012,Customer,529.2
LDC01,LocalDC,C013,Customer,493.0
LDC01,LocalDC,C014,Customer,451.1
LDC01,LocalDC,C015,Customer,425.5
LDC01,LocalDC,C016,Customer,438.7
LDC01,LocalDC,C017,Customer,402.0
LDC01,LocalDC,C018,Customer,291.6
LDC01,LocalDC,C019,Customer,465.8
LDC01,LocalDC,C020,Customer,526.7
LDC01,LocalDC,C021,Customer,567.1
LDC01,LocalDC,C022,Customer,652.0
LDC01,LocalDC,C023,Customer,685.2
LDC01,LocalDC,C024,Customer,740.9
LDC01,LocalDC,C025,Customer,568.1
LDC01,LocalDC,C026,Customer,511.3
LDC01,LocalDC,C027,Customer,536.9
LDC01,LocalDC,C028,Customer,1009.2
LDC01,LocalDC,C029,Customer,1089.1
LDC01,LocalDC,C030,Customer,1156.6
LDC01,LocalDC,C031,Customer,1131.4
LDC01,LocalDC,C032,Customer,1192.9
LDC01,LocalDC,C033,Customer,1240.1
LDC01,LocalDC,C034,Customer,1258.0
LDC01,LocalDC,C035,Customer,1278.9
LDC02,LocalDC,C001,Customer,132.0
LDC02,LocalDC,C002,Customer,196.8
LDC02,LocalDC,C003,Customer,62.5
LDC02,LocalDC,C004,Customer,7.4
LDC02,LocalDC,C005,Customer,92.6
LDC02,LocalDC,C006,Customer,254.6
LDC02,LocalDC,C007,Customer,66.8
LDC02,LocalDC,C008,Customer,141.2
LDC02,LocalDC,C009,Customer,494.4
LDC02,LocalDC,C010,Customer,486.6
LDC02,LocalDC,C011,Customer,470.7
LDC02,LocalDC,C012,Customer,511.8
LDC02,LocalDC,C013,Customer,481.9
LDC02,LocalDC,C014,Customer,432.0
LDC02,LocalDC,C015,Customer,412.8
LDC02,LocalDC,C016,Customer,414.6
LDC02,LocalDC,C017,Customer,381.4
LDC02,LocalDC,C018,Customer,276.6
LDC02,LocalDC,C019,Customer,462.4
LDC02,LocalDC,C020,Customer,519.2
LDC02,LocalDC,C021,Customer,545.7
LDC02,LocalDC,C022,Customer,629.4
LDC02,LocalDC,C023,Customer,655.2
LDC02,LocalDC,C024,Customer,709.2
LDC02,LocalDC,C025,Customer,534.0
LDC02,LocalDC,C026,Customer,483.5
LDC02,LocalDC,C027,Customer,513.3
LDC02,LocalDC,C028,Customer,1005.0
LDC02,LocalDC,C029,Customer,1080.6
LDC02,LocalDC,C030,Customer,1157.2
LDC02,LocalDC,C031,Customer,1129.4
LDC02,LocalDC,C032,Customer,1186.5
LDC02,LocalDC,C033,Customer,1228.0
LDC02,LocalDC,C034,Customer,1247.0
LDC02,LocalDC,C035,Customer,1263.7
LDC03,LocalDC,C001,Customer,188.5
LDC03,LocalDC,C002,Customer,162.9
LDC03,LocalDC,C003,Customer,144.4
LDC03,LocalDC,C004,Customer,103.7
LDC03,LocalDC,C005,Customer,8.9
LDC03,LocalDC,C006,Customer,301.0
LDC03,LocalDC,C007,Customer,156.1
LDC03,LocalDC,C008,Customer,232.8
LDC03,LocalDC,C009,Customer,562.7
LDC03,LocalDC,C010,Customer,555.1
LDC03,LocalDC,C011,Customer,538.7
LDC03,LocalDC,C012,Customer,578.8
LDC03,LocalDC,C013,Customer,556.5
LDC03,LocalDC,C014,Customer,498.4
LDC03,LocalDC,C015,Customer,487.1
LDC03,LocalDC,C016,Customer,475.1
LDC03,LocalDC,C017,Customer,447.4
LDC03,LocalDC,C018,Customer,352.7
LDC03,LocalDC,C019,Customer,544.6
LDC03,LocalDC,C020,Customer,596.8
LDC03,LocalDC,C021,Customer,606.9
LDC03,LocalDC,C022,Customer,687.8
LDC03,LocalDC,C023,Customer,702.0
LDC03,LocalDC,C024,Customer,752.7
LDC03,LocalDC,C025,Customer,576.0
LDC03,LocalDC,C026,Customer,536.9
LDC03,LocalDC,C027,Customer,572.1
LDC03,LocalDC,C028,Customer,1082.5
LDC03,LocalDC,C029,Customer,1153.2
LDC03,LocalDC,C030,Customer,1238.8
LDC03,LocalDC,C031,Customer,1208.6
LDC03,LocalDC,C032,Customer,1261.0
LDC03,LocalDC,C033,Customer,1295.9
LDC03,LocalDC,C034,Customer,1316.2
LDC03,LocalDC,C035,Customer,1327.6
LDC04,LocalDC,C001,Customer,549.9
LDC04,LocalDC,C002,Customer,661.3
LDC04,LocalDC,C003,Customer,488.5
LDC04,LocalDC,C004,Customer,457.7
LDC04,LocalDC,C005,Customer,524.7
LDC04,LocalDC,C006,Customer,642.3
LDC04,LocalDC,C007,Customer,399.0
LDC04,LocalDC,C008,Customer,335.5
LDC04,LocalDC,C009,Customer,29.6
LDC04,LocalDC,C010,Customer,22.0
LDC04,LocalDC,C011,Customer,5.9
LDC04,LocalDC,C012,Customer,47.3
LDC04,LocalDC,C013,Customer,49.4
LDC04,LocalDC,C014,Customer,35.9
LDC04,LocalDC,C015,Customer,63.2
LDC04,LocalDC,C016,Customer,71.8
LDC04,LocalDC,C017,Customer,86.0
LDC04,LocalDC,C018,Customer,190.3
LDC04,LocalDC,C019,Customer,105.1
LDC04,LocalDC,C020,Customer,92.2
LDC04,LocalDC,C021,Customer,91.6
LDC04,LocalDC,C022,Customer,175.5
LDC04,LocalDC,C023,Customer,235.1
LDC04,LocalDC,C024,Customer,293.7
LDC04,LocalDC,C025,Customer,173.9
LDC04,LocalDC,C026,Customer,94.0
LDC04,LocalDC,C027,Customer,76.8
LDC04,LocalDC,C028,Customer,553.6
LDC04,LocalDC,C029,Customer,620.3
LDC04,LocalDC,C030,Customer,716.3
LDC04,LocalDC,C031,Customer,681.6
LDC04,LocalDC,C032,Customer,728.7
LDC04,LocalDC,C033,Customer,763.7
LDC04,LocalDC,C034,Customer,783.5
LDC04,LocalDC,C035,Customer,798.8
LDC05,LocalDC,C001,Customer,593.8
LDC05,LocalDC,C002,Customer,705.3
LDC05,LocalDC,C003,Customer,532.6
LDC05,LocalDC,C004,Customer,501.7
LDC05,LocalDC,C005,Customer,567.7
LDC05,LocalDC,C006,Customer,685.2
LDC05,LocalDC,C007,Customer,443.0
LDC05,LocalDC,C008,Customer,379.5
LDC05,LocalDC,C009,Customer,15.9
LDC05,LocalDC,C010,Customer,23.2
LDC05,LocalDC,C011,Customer,38.3
LDC05,LocalDC,C012,Customer,3.6
LDC05,LocalDC,C013,Customer,58.9
LDC05,LocalDC,C014,Customer,77.7
LDC05,LocalDC,C015,Customer,104.5
LDC05,LocalDC,C016,Customer,106.7
LDC05,LocalDC,C017,Customer,128.8
LDC05,LocalDC,C018,Customer,234.4
LDC05,LocalDC,C019,Customer,122.8
LDC05,LocalDC,C020,Customer,82.5
LDC05,LocalDC,C021,Customer,55.2
LDC05,LocalDC,C022,Customer,134.5
LDC05,LocalDC,C023,Customer,202.5
LDC05,LocalDC,C024,Customer,260.2
LDC05,LocalDC,C025,Customer,164.9
LDC05,LocalDC,C026,Customer,96.0
LDC05,LocalDC,C027,Customer,58.6
LDC05,LocalDC,C028,Customer,513.6
LDC05,LocalDC,C029,Customer,577.9
LDC05,LocalDC,C030,Customer,677.9
LDC05,LocalDC,C031,Customer,642.0
LDC05,LocalDC,C032,Customer,686.8
LDC05,LocalDC,C033,Customer,720.2
LDC05,LocalDC,C034,Customer,740.2
LDC05,LocalDC,C035,Customer,754.8
LDC06,LocalDC,C001,Customer,558.2
LDC06,LocalDC,C002,Customer,677.7
LDC06,LocalDC,C003,Customer,500.8
LDC06,LocalDC,C004,Customer,476.0
LDC06,LocalDC,C005,Customer,548.8
LDC06,LocalDC,C006,Customer,643.6
LDC06,LocalDC,C007,Customer,416.3
LDC06,LocalDC,C008,Customer,347.8
LDC06,LocalDC,C009,Customer,46.5
LDC06,LocalDC,C010,Customer,44.6
LDC06,LocalDC,C011,Customer,49.1
LDC06,LocalDC,C012,Customer,61.6
LDC06,LocalDC,C013,Customer,1.1
LDC06,LocalDC,C014,Customer,78.1
LDC06,LocalDC,C015,Customer,70.5
LDC06,LocalDC,C016,Customer,117.7
LDC06,LocalDC,C017,Customer,119.5
LDC06,LocalDC,C018,Customer,206.5
LDC06,LocalDC,C019,Customer,64.5
LDC06,LocalDC,C020,Customer,45.2
LDC06,LocalDC,C021,Customer,113.0
LDC06,LocalDC,C022,Customer,186.9
LDC06,LocalDC,C023,Customer,260.2
LDC06,LocalDC,C024,Customer,317.4
LDC06,LocalDC,C025,Customer,217.5
LDC06,LocalDC,C026,Customer,140.8
LDC06,LocalDC,C027,Customer,113.4
LDC06,LocalDC,C028,Customer,525.0
LDC06,LocalDC,C029,Customer,597.7
LDC06,LocalDC,C030,Customer,683.9
LDC06,LocalDC,C031,Customer,651.7
LDC06,LocalDC,C032,Customer,704.1
LDC06,LocalDC,C033,Customer,746.2
LDC06,LocalDC,C034,Customer,764.6
LDC06,LocalDC,C035,Customer,785.3
LDC07,LocalDC,C001,Customer,511.6
LDC07,LocalDC,C002,Customer,620.5
LDC07,LocalDC,C003,Customer,449.0
LDC07,LocalDC,C004,Customer,416.8
LDC07,LocalDC,C005,Customer,482.9
LDC07,LocalDC,C006,Customer,606.7
LDC07,LocalDC,C007,Customer,358.3
LDC07,LocalDC,C008,Customer,296.4
LDC07,LocalDC,C009,Customer,71.3
LDC07,LocalDC,C010,Customer,63.7
LDC07,LocalDC,C011,Customer,47.3
LDC07,LocalDC,C012,Customer,87.9
LDC07,LocalDC,C013,Customer,78.5
LDC07,LocalDC,C014,Customer,9.6
LDC07,LocalDC,C015,Customer,43.8
LDC07,LocalDC,C016,Customer,42.0
LDC07,LocalDC,C017,Customer,44.3
LDC07,LocalDC,C018,Customer,151.0
LDC07,LocalDC,C019,Customer,115.4
LDC07,LocalDC,C020,Customer,124.5
LDC07,LocalDC,C021,Customer,125.9
LDC07,LocalDC,C022,Customer,211.1
LDC07,LocalDC,C023,Customer,261.3
LDC07,LocalDC,C024,Customer,320.1
LDC07,LocalDC,C025,Customer,180.7
LDC07,LocalDC,C026,Customer,99.2
LDC07,LocalDC,C027,Customer,101.4
LDC07,LocalDC,C028,Customer,595.1
LDC07,LocalDC,C029,Customer,662.1
LDC07,LocalDC,C030,Customer,757.2
LDC07,LocalDC,C031,Customer,723.0
LDC07,LocalDC,C032,Customer,770.5
LDC07,LocalDC,C033,Customer,805.2
LDC07,LocalDC,C034,Customer,825.1
LDC07,LocalDC,C035,Customer,839.8
LDC08,LocalDC,C001,Customer,714.8
LDC08,LocalDC,C002,Customer,818.1
LDC08,LocalDC,C003,Customer,650.8
LDC08,LocalDC,C004,Customer,614.2
LDC08,LocalDC,C005,Customer,671.7
LDC08,LocalDC,C006,Customer,810.2
LDC08,LocalDC,C007,Customer,557.3
LDC08,LocalDC,C008,Customer,499.1
LDC08,LocalDC,C009,Customer,143.9
LDC08,LocalDC,C010,Customer,150.7
LDC08,LocalDC,C011,Customer,163.0
LDC08,LocalDC,C012,Customer,124.5
LDC08,LocalDC,C013,Customer,182.2
LDC08,LocalDC,C014,Customer,194.5
LDC08,LocalDC,C015,Customer,231.5
LDC08,LocalDC,C016,Customer,206.9
LDC08,LocalDC,C017,Customer,242.4
LDC08,LocalDC,C018,Customer,354.1
LDC08,LocalDC,C019,Customer,242.6
LDC08,LocalDC,C020,Customer,183.0
LDC08,LocalDC,C021,Customer,77.9
LDC08,LocalDC,C022,Customer,8.1
LDC08,LocalDC,C023,Customer,92.2
LDC08,LocalDC,C024,Customer,142.1
LDC08,LocalDC,C025,Customer,147.0
LDC08,LocalDC,C026,Customer,144.6
LDC08,LocalDC,C027,Customer,108.3
LDC08,LocalDC,C028,Customer,447.9
LDC08,LocalDC,C029,Customer,493.7
LDC08,LocalDC,C030,Customer,618.7
LDC08,LocalDC,C031,Customer,576.0
LDC08,LocalDC,C032,Customer,604.9
LDC08,LocalDC,C033,Customer,621.9
LDC08,LocalDC,C034,Customer,644.5
LDC08,LocalDC,C035,Customer,649.0
LDC09,LocalDC,C001,Customer,760.2
LDC09,LocalDC,C002,Customer,851.8
LDC09,LocalDC,C003,Customer,692.7
LDC09,LocalDC,C004,Customer,649.7
LDC09,LocalDC,C005,Customer,697.4
LDC09,LocalDC,C006,Customer,862.3
LDC09,LocalDC,C007,Customer,595.9
LDC09,LocalDC,C008,Customer,545.1
LDC09,LocalDC,C009,Customer,214.3
LDC09,LocalDC,C010,Customer,219.7
LDC09,LocalDC,C011,Customer,228.4
LDC09,LocalDC,C012,Customer,196.3
LDC09,LocalDC,C013,Customer,257.9
LDC09,LocalDC,C014,Customer,250.9
LDC09,LocalDC,C015,Customer,295.9
LDC09,LocalDC,C016,Customer,250.9
LDC09,LocalDC,C017,Customer,291.8
LDC09,LocalDC,C018,Customer,403.6
LDC09,LocalDC,C019,Customer,320.9
LDC09,LocalDC,C020,Customer,265.8
LDC09,LocalDC,C021,Customer,144.7
LDC09,LocalDC,C022,Customer,85.9
LDC09,LocalDC,C023,Customer,7.6
LDC09,LocalDC,C024,Customer,60.5
LDC09,LocalDC,C025,Customer,132.4
LDC09,LocalDC,C026,Customer,175.5
LDC09,LocalDC,C027,Customer,159.3
LDC09,LocalDC,C028,Customer,484.1
LDC09,LocalDC,C029,Customer,513.0
LDC09,LocalDC,C030,Customer,655.2
LDC09,LocalDC,C031,Customer,608.5
LDC09,LocalDC,C032,Customer,623.7
LDC09,LocalDC,C033,Customer,623.9
LDC09,LocalDC,C034,Customer,649.0
LDC09,LocalDC,C035,Customer,641.3
LDC10,LocalDC,C001,Customer,679.1
LDC10,LocalDC,C002,Customer,787.8
LDC10,LocalDC,C003,Customer,617.0
LDC10,LocalDC,C004,Customer,583.8
LDC10,LocalDC,C005,Customer,646.1
LDC10,LocalDC,C006,Customer,771.2
LDC10,LocalDC,C007,Customer,525.8
LDC10,LocalDC,C008,Customer,464.3
LDC10,LocalDC,C009,Customer,101.8
LDC10,LocalDC,C010,Customer,109.2
LDC10,LocalDC,C011,Customer,123.5
LDC10,LocalDC,C012,Customer,82.6
LDC10,LocalDC,C013,Customer,135.8
LDC10,LocalDC,C014,Customer,159.5
LDC10,LocalDC,C015,Customer,190.4
LDC10,LocalDC,C016,Customer,179.3
LDC10,LocalDC,C017,Customer,209.7
LDC10,LocalDC,C018,Customer,318.9
LDC10,LocalDC,C019,Customer,194.8
LDC10,LocalDC,C020,Customer,134.4
LDC10,LocalDC,C021,Customer,48.9
LDC10,LocalDC,C022,Customer,52.8
LDC10,LocalDC,C023,Customer,138.3
LDC10,LocalDC,C024,Customer,190.5
LDC10,LocalDC,C025,Customer,160.6
LDC10,LocalDC,C026,Customer,131.4
LDC10,LocalDC,C027,Customer,86.5
LDC10,LocalDC,C028,Customer,450.5
LDC10,LocalDC,C029,Customer,505.8
LDC10,LocalDC,C030,Customer,619.2
LDC10,LocalDC,C031,Customer,579.5
LDC10,LocalDC,C032,Customer,616.2
LDC10,LocalDC,C033,Customer,642.1
LDC10,LocalDC,C034,Customer,663.2
LDC10,LocalDC,C035,Customer,673.6
LDC11,LocalDC,C001,Customer,1156.1
LDC11,LocalDC,C002,Customer,1282.7
LDC11,LocalDC,C003,Customer,1103.8
LDC11,LocalDC,C004,Customer,1081.7
LDC11,LocalDC,C005,Customer,1152.9
LDC11,LocalDC,C006,Customer,1227.1
LDC11,LocalDC,C007,Customer,1021.9
LDC11,LocalDC,C008,Customer,951.9
LDC11,LocalDC,C009,Customer,599.1
LDC11,LocalDC,C010,Customer,606.6
LDC11,LocalDC,C011,Customer,623.0
LDC11,LocalDC,C012,Customer,583.8
LDC11,LocalDC,C013,Customer,606.7
LDC11,LocalDC,C014,Customer,663.7
LDC11,LocalDC,C015,Customer,676.0
LDC11,LocalDC,C016,Customer,690.8
LDC11,LocalDC,C017,Customer,714.5
LDC11,LocalDC,C018,Customer,812.2
LDC11,LocalDC,C019,Customer,631.7
LDC11,LocalDC,C020,Customer,570.3
LDC11,LocalDC,C021,Customer,563.2
LDC11,LocalDC,C022,Customer,494.5
LDC11,LocalDC,C023,Customer,528.3
LDC11,LocalDC,C024,Customer,511.7
LDC11,LocalDC,C025,Customer,643.1
LDC11,LocalDC,C026,Customer,643.7
LDC11,LocalDC,C027,Customer,600.6
LDC11,LocalDC,C028,Customer,110.1
LDC11,LocalDC,C029,Customer,8.7
LDC11,LocalDC,C030,Customer,173.0
LDC11,LocalDC,C031,Customer,118.6
LDC11,LocalDC,C032,Customer,102.7
LDC11,LocalDC,C033,Customer,159.3
LDC11,LocalDC,C034,Customer,168.0
LDC11,LocalDC,C035,Customer,223.9
LDC12,LocalDC,C001,Customer,1211.9
LDC12,LocalDC,C002,Customer,1349.1
LDC12,LocalDC,C003,Customer,1167.4
LDC12,LocalDC,C004,Customer,1154.6
LDC12,LocalDC,C005,Customer,1233.8
LDC12,LocalDC,C006,Customer,1268.3
LDC12,LocalDC,C007,Customer,1094.7
LDC12,LocalDC,C008,Customer,1020.5
LDC12,LocalDC,C009,Customer,692.1
LDC12,LocalDC,C010,Customer,699.0
LDC12,LocalDC,C011,Customer,715.2
LDC12,LocalDC,C012,Customer,680.0
LDC12,LocalDC,C013,Customer,688.7
LDC12,LocalDC,C014,Customer,756.0
LDC12,LocalDC,C015,Customer,757.3
LDC12,LocalDC,C016,Customer,788.5
LDC12,LocalDC,C017,Customer,804.7
LDC12,LocalDC,C018,Customer,890.0
LDC12,LocalDC,C019,Customer,698.9
LDC12,LocalDC,C020,Customer,646.5
LDC12,LocalDC,C021,Customer,670.7
LDC12,LocalDC,C022,Customer,615.2
LDC12,LocalDC,C023,Customer,665.8
LDC12,LocalDC,C024,Customer,659.2
LDC12,LocalDC,C025,Customer,768.7
LDC12,LocalDC,C026,Customer,754.2
LDC12,LocalDC,C027,Customer,708.3
LDC12,LocalDC,C028,Customer,175.0
LDC12,LocalDC,C029,Customer,181.0
LDC12,LocalDC,C030,Customer,3.9
LDC12,LocalDC,C031,Customer,56.9
LDC12,LocalDC,C032,Customer,136.6
LDC12,LocalDC,C033,Customer,257.3
LDC12,LocalDC,C034,Customer,243.5
LDC12,LocalDC,C035,Customer,331.1
LDC13,LocalDC,C001,Customer,1241.9
LDC13,LocalDC,C002,Customer,1370.9
LDC13,LocalDC,C003,Customer,1191.2
LDC13,LocalDC,C004,Customer,1170.9
LDC13,LocalDC,C005,Customer,1243.5
LDC13,LocalDC,C006,Customer,1309.5
LDC13,LocalDC,C007,Customer,1110.9
LDC13,LocalDC,C008,Customer,1040.0
LDC13,LocalDC,C009,Customer,690.4
LDC13,LocalDC,C010,Customer,697.9
LDC13,LocalDC,C011,Customer,714.3
LDC13,LocalDC,C012,Customer,675.5
LDC13,LocalDC,C013,Customer,696.4
LDC13,LocalDC,C014,Customer,755.2
LDC13,LocalDC,C015,Customer,765.8
LDC13,LocalDC,C016,Customer,783.0
LDC13,LocalDC,C017,Customer,805.8
LDC13,LocalDC,C018,Customer,901.8
LDC13,LocalDC,C019,Customer,718.5
LDC13,LocalDC,C020,Customer,658.7
LDC13,LocalDC,C021,Customer,656.2
LDC13,LocalDC,C022,Customer,588.2
LDC13,LocalDC,C023,Customer,621.4
LDC13,LocalDC,C024,Customer,603.4
LDC13,LocalDC,C025,Customer,736.9
LDC13,LocalDC,C026,Customer,737.0
LDC13,LocalDC,C027,Customer,693.6
LDC13,LocalDC,C028,Customer,178.8
LDC13,LocalDC,C029,Customer,102.4
LDC13,LocalDC,C030,Customer,136.7
LDC13,LocalDC,C031,Customer,98.8
LDC13,LocalDC,C032,Customer,9.0
LDC13,LocalDC,C033,Customer,122.0
LDC13,LocalDC,C034,Customer,113.0
LDC13,LocalDC,C035,Customer,196.2
LDC14,LocalDC,C001,Customer,1293.7
LDC14,LocalDC,C002,Customer,1415.1
LDC14,LocalDC,C003,Customer,1238.4
LDC14,LocalDC,C004,Customer,1212.4
LDC14,LocalDC,C005,Customer,1279.0
LDC14,LocalDC,C006,Customer,1369.3
LDC14,LocalDC,C007,Customer,1153.1
LDC14,LocalDC,C008,Customer,1085.5
LDC14,LocalDC,C009,Customer,725.6
LDC14,LocalDC,C010,Customer,733.3
LDC14,LocalDC,C011,Customer,749.5
LDC14,LocalDC,C012,Customer,708.9
LDC14,LocalDC,C013,Customer,738.8
LDC14,LocalDC,C014,Customer,789.3
LDC14,LocalDC,C015,Customer,807.1
LDC14,LocalDC,C016,Customer,812.7
LDC14,LocalDC,C017,Customer,840.4
LDC14,LocalDC,C018,Customer,943.1
LDC14,LocalDC,C019,Customer,769.6
LDC14,LocalDC,C020,Customer,705.7
LDC14,LocalDC,C021,Customer,681.7
LDC14,LocalDC,C022,Customer,605.4
LDC14,LocalDC,C023,Customer,621.4
LDC14,LocalDC,C024,Customer,592.8
LDC14,LocalDC,C025,Customer,744.8
LDC14,LocalDC,C026,Customer,757.9
